item_code,item_name,item_group,brand,stock_uom,hsn_code,valuation_rate,standard_rate,description
FIRST-HOOKATTABI,HOOK ATTA BIG FIRST,Plastic kitchenware,,Pack,3924,0,0,HOOK ATTA BIG FIRST
COLOUR-HOOKATTABI,HOOK ATTA BIG COLOUR,Plastic kitchenware,,Pack,3924,0,0,HOOK ATTA BIG COLOUR
CLIP-BLACK,BLACK CLIP,Plastic kitchenware,,Pack,3924,0,0,BLACK CLIP
SECOND-ATTASTRAIN,ATTA STRAINNER BIG SECOND,Plastic kitchenware,,Pack,3924,0,0,ATTA STRAINNER BIG SECOND
CLIP-SEMISINGLE,SEMI SINGLE CLIP,Plastic kitchenware,,Pack,3924,0,0,SEMI SINGLE CLIP
FIRST-CLIPDOUBLE,CLIP DOUBLE FIRST,Plastic kitchenware,,Pack,3924,0,0,CLIP DOUBLE FIRST
SEMI-CLIPDOUBLE,CLIP DOUBLE SEMI,Plastic kitchenware,,Pack,3924,0,0,CLIP DOUBLE SEMI
LONG-CLIP,CLIP LONG,Plastic kitchenware,,Pack,3924,0,0,CLIP LONG
NO4-MSPURIPRES,M S puri press no.4,Plastic kitchenware,,Pack,3924,0,0,M S puri press
NO6-MSPURIPRES,M S puri press no.6,Plastic kitchenware,,Pack,3924,0,0,M S puri press
645G-SSKHALBATT,S.S. Khalbatta no.1 645g,Plastic kitchenware,,Pack,3924,0,0,S.S. Khalbatta no.1
134KG-SSKHALBATT,S.S. Khalbatta no.5 1.34kg,Plastic kitchenware,,Pack,3924,0,0,S.S. Khalbatta no.5
STEEL-PURIPRESS,Puri press Steel,Plastic kitchenware,,Pack,3924,0,0,Puri press Steel
POT-SIGMAOILBR,sigma oil brush with pot,Plastic kitchenware,sigma,Pack,3924,0,0,oil brush with pot
PEELER-SIGMASWIFT,Sigma Swift peeler,Plastic Kitchenware,Sigma,Pack,7323,0,0,Swift peeler
TOMATO-SIGMAABS,Sigma Abs tomato,Plastic Kitchenware,Sigma,Pack,3924,0,0,Abs tomato
KNIFE-SIGMA5PIEC,Sigma 5 PIECE TOMATO CARD KNIFE,Plastic Kitchenware,Sigma,Pack,3924,0,0,5 PIECE TOMATO CARD KNIFE
BLENDER-SIGMAHAND,Sigma HAND BLENDER,Plastic Kitchenware,Sigma,Pack,3924,0,0,HAND BLENDER
PEEELR-SIGMASUMO,Sigma SUMO PEEELR,Plastic Kitchenware,Sigma,Pack,3924,0,0,SUMO PEEELR
OPENER-SIGMACOCON,Sigma COCONUT OPENER,Plastic Kitchenware,Sigma,Pack,3924,0,0,COCONUT OPENER
SET-SIGMASLEEK,Sigma SLEEK 2 PIECES KNIFE SET,Plastic Kitchenware,Sigma,Pack,3924,0,0,SLEEK 2 PIECES KNIFE SET
SET-SIGMASILIC,Sigma SILICONE BIG SET,Plastic Kitchenware,Sigma,Pack,3924,0,0,SILICONE BIG SET
SET-SIGMASLEEK-002,Sigma SLEEK 3 PIECES KNIFE SET,Plastic Kitchenware,Sigma,Pack,3924,0,0,SLEEK 3 PIECES KNIFE SET
KNIFE-SIGMAMGPEE,Sigma MG PEELING KNIFE,Plastic Kitchenware,Sigma,Pack,3924,0,0,MG PEELING KNIFE
KNIFE-SIGMAMGPLA,Sigma MG PLAIN KNIFE,Plastic Kitchenware,Sigma,Pack,3924,0,0,MG PLAIN KNIFE
KNFIE-SIGMAMGTOM,Sigma MG TOMATO KNFIE,Plastic Kitchenware,Sigma,Pack,3924,0,0,MG TOMATO KNFIE
PEELER-SIGMASLEEK,Sigma SLEEK PEELER,Plastic Kitchenware,Sigma,Pack,3924,0,0,SLEEK PEELER
KNFIE-SIGMASLEEK,Sigma SLEEK PLAIN KNFIE,Plastic Kitchenware,Sigma,Pack,3924,0,0,SLEEK PLAIN KNFIE
KNFIE-SIGMASLEEK-002,Sigma SLEEK TOMATO KNFIE,Plastic Kitchenware,Sigma,Pack,3924,0,0,SLEEK TOMATO KNFIE
BOX-SIGMAUNIVE,Sigma UNIVERSAL MASALA BOX,Plastic Kitchenware,Sigma,Pack,3924,0,0,UNIVERSAL MASALA BOX
BOTTLE-SIGMAOILDI,Sigma OIL DISPENSER BOTTLE,Plastic Kitchenware,Sigma,Pack,3924,0,0,OIL DISPENSER BOTTLE
CARD-SIGMA5PIEC,Sigma 5 Piece peeler card,Plastic Kitchenware,Sigma,Pack,3924,0,0,5 Piece peeler card
INCH-SIGMASILIC,Sigma SILICONE BRUSH 8 INCH,Plastic Kitchenware,Sigma,Pack,3924,0,0,SILICONE BRUSH
SET-SIGMAMGKNI,Sigma MG Knife set,Plastic Kitchenware,Sigma,Pack,3924,0,0,MG Knife set
9-SIGMAWHISK,"Sigma WHISK WIRE 9""",Plastic Kitchenware,Sigma,Pack,3924,0,0,WHISK WIRE
